ID,Shinji,Kyuji,Kyuji_Unicode,Kyuji_Unicode_with_IVS,CID
177,戒,戒,U+6212,,
178,改,改,U+6539,,
179,怪,怪,U+602A,,
180,拐,拐,U+62D0,U+62D0 U+E0101,CID+7649
181,悔,悔,U+FA3D,,
182,海,海,U+FA45,,
183,界,界,U+754C,,
184,皆,皆,U+7686,,
185,械,械,U+68B0,,
186,絵,繪,U+7E6A,,
187,開,開,U+958B,,
188,階,階,U+968E,,
189,塊,塊,U+584A,,
190,楷,楷,U+6977,,
191,解,解,U+89E3,,
192,潰,潰,U+6F70,,
193,壊,壞,U+58DE,,
194,懐,懷,U+61F7,,
195,諧,諧,U+8AE7,,
196,貝,貝,U+8C9D,,
197,外,外,U+5916,,
198,劾,劾,U+52BE,,
199,害,害,U+5BB3,U+5BB3 U+E0102,CID+13675
200,崖,崖,U+5D16,,
201,涯,涯,U+6DAF,,
202,街,街,U+8857,,
203,慨,慨,U+FA3E,,
204,蓋,蓋,U+84CB,,
205,該,該,U+8A72,,
206,概,槪,U+69EA,,
207,骸,骸,U+9AB8,,
208,垣,垣,U+57A3,,
209,柿,柿,U+67FF,,
210,各,各,U+5404,,
211,角,角,U+89D2,,
212,拡,擴,U+64F4,,
213,革,革,U+9769,,
214,格,格,U+683C,,
215,核,核,U+6838,,
216,殻,殼,U+6BBC,,
217,郭,郭,U+90ED,,
218,覚,覺,U+89BA,,
219,較,較,U+8F03,U+8F03 U+E0101,CID+20226
220,隔,隔,U+9694,,
221,閣,閣,U+95A3,,
222,確,確,U+78BA,,
223,獲,獲,U+7372,,
224,嚇,嚇,U+5687,,
225,穫,穫,U+7A6B,,
226,学,學,U+5B78,,
227,岳,嶽,U+5DBD,,
228,楽,樂,U+6A02,,
229,額,額,U+984D,,
230,顎,顎,U+984E,,
231,掛,掛,U+639B,,
232,潟,潟,U+6F5F,,
233,括,括,U+62EC,,
234,活,活,U+6D3B,,
235,喝,喝,U+FA36,,
236,渇,渴,U+6E34,,
237,割,割,U+5272,U+5272 U+E0100,CID+13684
238,葛,葛,U+845B,,
239,滑,滑,U+6ED1,,
240,褐,褐,U+FA60,,
